ticker,entry_time,exit_time,entry_price,exit_price,highest_price,pnl
SBER,2022-11-10 13:00:00+00:00,2022-11-15 18:00:00+00:00,135.49,134.37,140.5,-133.31842813465644
PLZL,2022-11-16 09:00:00+00:00,2022-11-17 12:00:00+00:00,662.0,652.6,663.4,-228.45004935453588
SBER,2022-11-16 07:00:00+00:00,2022-11-17 13:00:00+00:00,137.98,136.89,139.6,-158.86995129309332
PLZL,2022-11-23 19:00:00+00:00,2022-11-24 14:00:00+00:00,714.0,696.8,717.8,-482.598064980358
PLZL,2022-11-24 17:00:00+00:00,2022-11-28 07:00:00+00:00,704.2,692.0,708.8,-345.39949248362217
PLZL,2022-11-28 08:00:00+00:00,2022-12-05 16:00:00+00:00,699.6,741.2,764.2,1181.3919418080452
ROSN,2022-12-31 09:00:00+00:00,2023-01-04 06:00:00+00:00,369.35,366.5,372.25,-124.1028054908082
IRAO,2022-12-30 16:00:00+00:00,2023-01-05 07:00:00+00:00,3.401,3.402,3.442,5.9112349835252465
IRAO,2023-01-07 12:00:00+00:00,2023-01-10 07:00:00+00:00,3.526,3.5015,3.5795,-139.5268181194088
SBER,2023-01-13 14:00:00+00:00,2023-01-17 08:00:00+00:00,152.19,150.91,154.0,-168.65290177791414
MOEX,2023-01-16 15:00:00+00:00,2023-01-17 08:00:00+00:00,104.42,102.74,105.62,-258.0985383801957
MOEX,2023-01-17 09:00:00+00:00,2023-01-19 07:00:00+00:00,103.44,102.6,103.97,-162.14676739260483
SNGS,2023-01-29 12:00:00+00:00,2023-01-30 09:00:00+00:00,23.71,23.01,23.89,-470.8342742069151
PLZL,2023-01-27 08:00:00+00:00,2023-01-31 08:00:00+00:00,871.0,908.8,929.2,865.1377075747434
PLZL,2023-02-01 09:00:00+00:00,2023-02-02 19:00:00+00:00,966.0,943.2,980.0,-472.37180544294375
PLZL,2023-02-03 12:00:00+00:00,2023-02-07 08:00:00+00:00,945.2,924.0,945.2,-374.9472905746797
CHMF,2023-02-01 19:00:00+00:00,2023-02-07 09:00:00+00:00,970.0,1011.0,1044.4,676.7501438369807
SBER,2023-02-06 09:00:00+00:00,2023-02-08 10:00:00+00:00,163.88,164.2,167.3,26.113920746514736
CHMF,2023-02-09 15:00:00+00:00,2023-02-13 19:00:00+00:00,1006.4,1018.0,1035.6,230.34894263244632
MOEX,2023-03-03 07:00:00+00:00,2023-03-09 18:00:00+00:00,116.11,122.55,125.21,1111.0026832867954
VTBR,2023-03-20 16:00:00+00:00,2023-03-22 06:00:00+00:00,94.95,91.25,95.6,-551.7984439828045
SBER,2023-03-17 16:00:00+00:00,2023-03-22 07:00:00+00:00,191.21,201.99,207.16,1141.8211893095845
NVTK,2023-03-27 15:00:00+00:00,2023-03-28 08:00:00+00:00,1170.0,1152.0,1175.0,-200.57630931062928
SBER,2023-03-25 10:00:00+00:00,2023-03-30 19:00:00+00:00,204.94,216.99,219.24,1197.76973037498
VTBR,2023-03-25 15:00:00+00:00,2023-03-31 07:00:00+00:00,90.475,90.6,92.3,22.515646769120767
IRAO,2023-03-30 11:00:00+00:00,2023-03-31 09:00:00+00:00,3.7365,3.701,3.7415000000000003,-123.4860810753834
SBER,2023-03-31 15:00:00+00:00,2023-04-04 12:00:00+00:00,215.5,215.86,218.53,34.329927444160354
VTBR,2023-04-03 20:00:00+00:00,2023-04-05 07:00:00+00:00,99.55,96.575,103.1,-491.3074526155261
SNGS,2023-04-05 15:00:00+00:00,2023-04-06 14:00:00+00:00,24.94,24.78,25.405,-131.25183965791953
NVTK,2023-04-08 07:00:00+00:00,2023-04-11 13:00:00+00:00,1244.2,1227.8,1251.0,-269.32577903507945
NVTK,2023-04-14 12:00:00+00:00,2023-04-18 09:00:00+00:00,1288.8,1301.6,1324.4,202.3961761185806
NVTK,2023-04-23 09:00:00+00:00,2023-04-24 16:00:00+00:00,1337.6,1313.8,1337.6,-232.52536478099793
SBER,2023-04-19 15:00:00+00:00,2023-04-24 18:00:00+00:00,233.8,235.15,237.57,117.9041047669818
VTBR,2023-04-23 07:00:00+00:00,2023-04-25 06:00:00+00:00,101.2,100.325,102.6,-141.23983154856106
VTBR,2023-04-27 08:00:00+00:00,2023-05-02 14:00:00+00:00,107.9,106.425,112.575,-278.43286561427294
VTBR,2023-05-17 16:00:00+00:00,2023-05-19 06:00:00+00:00,116.25,115.175,119.75,-187.83496201060314
VTBR,2023-05-19 08:00:00+00:00,2023-05-22 20:00:00+00:00,116.9,114.425,117.625,-429.25727651802066
VTBR,2023-05-24 11:00:00+00:00,2023-05-25 08:00:00+00:00,117.85,115.375,118.975,-423.9940031657181
SBER,2023-05-27 10:00:00+00:00,2023-05-30 06:00:00+00:00,249.02,248.84,252.59,-12.197044506923932
ROSN,2023-05-25 07:00:00+00:00,2023-05-31 06:00:00+00:00,433.45,432.75,441.25,-26.083334890418676
ROSN,2023-06-03 08:00:00+00:00,2023-06-05 19:00:00+00:00,465.6,456.4,469.75,-397.09602951694563
MOEX,2023-06-04 14:00:00+00:00,2023-06-06 07:00:00+00:00,122.05,118.84,123.2,-422.8418113825851
MOEX,2023-06-09 16:00:00+00:00,2023-06-13 16:00:00+00:00,125.91,126.48,129.23,90.23539817781007
SNGS,2023-06-19 16:00:00+00:00,2023-06-22 07:00:00+00:00,27.19,27.225,27.515,25.681133008045798
CHMF,2023-06-19 18:00:00+00:00,2023-06-23 06:00:00+00:00,1154.2,1155.2,1188.2,13.828155684607198
PLZL,2023-06-21 20:00:00+00:00,2023-06-23 06:00:00+00:00,1127.4,1113.0,1145.6,-163.08716337972763
